Fecha;Tasa de política monetaria(Dato fin de mes);Índice de Precios al Consumidor (IPC)(Variación porcentual  mensual);;
dd/mm/aaaa;%;índice;;
28/02/1998;30,00;3,28;;
31/03/1998;30,00;2,60;;
30/04/1998;30,00;2,90;;
31/05/1998;32,00;1,56;;
30/06/1998;32,00;1,22;;
31/07/1998;32,00;0,47;;
31/08/1998;32,00;0,03;;
30/09/1998;32,00;0,29;;
31/10/1998;32,00;0,35;;
30/11/1998;28,00;0,17;;
31/12/1998;26,00;0,91;;
31/01/1999;26,00;2,21;;
28/02/1999;24,00;1,70;;
31/03/1999;20,00;0,94;;
30/04/1999;19,00;0,78;;
31/05/1999;18,00;0,48;;
30/06/1999;18,00;0,28;;
31/07/1999;17,00;0,31;;
31/08/1999;16,00;0,50;;
30/09/1999;16,00;0,33;;
31/10/1999;15,00;0,35;;
30/11/1999;13,00;0,48;;
31/12/1999;12,00;0,53;;
31/01/2000;12,00;1,29;;
29/02/2000;12,00;2,30;;
31/03/2000;12,00;1,71;;
30/04/2000;12,00;1,00;;
31/05/2000;12,00;0,52;;
30/06/2000;12,00;-0,02;;
31/07/2000;12,00;-0,04;;
31/08/2000;12,00;0,32;;
30/09/2000;12,00;0,43;;
31/10/2000;12,00;0,15;;
30/11/2000;12,00;0,33;;
31/12/2000;12,00;0,46;;
31/01/2001;12,00;1,05;;
28/02/2001;12,00;1,89;;
31/03/2001;11,50;1,48;;
30/04/2001;11,50;1,15;;
31/05/2001;11,50;0,42;;
30/06/2001;11,50;0,04;;
31/07/2001;11,00;0,11;;
31/08/2001;10,00;0,26;;
30/09/2001;9,50;0,37;;
31/10/2001;9,25;0,19;;
30/11/2001;8,75;0,12;;
31/12/2001;8,50;0,34;;
31/01/2002;8,00;0,80;;
28/02/2002;8,00;1,26;;
31/03/2002;7,25;0,71;;
30/04/2002;6,25;0,92;;
31/05/2002;5,75;0,60;;
30/06/2002;5,25;0,43;;
31/07/2002;5,25;0,02;;
31/08/2002;5,25;0,09;;
30/09/2002;5,25;0,36;;
31/10/2002;5,25;0,56;;
30/11/2002;5,25;0,78;;
31/12/2002;5,25;0,27;;
31/01/2003;6,25;1,17;;
28/02/2003;6,25;1,11;;
31/03/2003;6,25;1,05;;
30/04/2003;7,25;1,15;;
31/05/2003;7,25;0,49;;
30/06/2003;7,25;-0,05;;
31/07/2003;7,25;-0,14;;
31/08/2003;7,25;0,31;;
30/09/2003;7,25;0,22;;
31/10/2003;7,25;0,06;;
30/11/2003;7,25;0,35;;
31/12/2003;7,25;0,61;;
31/01/2004;7,25;0,89;;
29/02/2004;7,00;1,20;;
31/03/2004;6,75;0,98;;
30/04/2004;6,75;0,46;;
31/05/2004;6,75;0,38;;
30/06/2004;6,75;0,60;;
31/07/2004;6,75;-0,03;;
31/08/2004;6,75;0,03;;
30/09/2004;6,75;0,30;;
31/10/2004;6,75;-0,01;;
30/11/2004;6,75;0,28;;
31/12/2004;6,50;0,30;;
31/01/2005;6,50;0,82;;
28/02/2005;6,50;1,02;;
31/03/2005;6,50;0,77;;
30/04/2005;6,50;0,44;;
31/05/2005;6,50;0,41;;
30/06/2005;6,50;0,40;;
31/07/2005;6,50;0,05;;
31/08/2005;6,50;0,00;;
30/09/2005;6,00;0,43;;
31/10/2005;6,00;0,23;;
30/11/2005;6,00;0,11;;
31/12/2005;6,00;0,07;;
31/01/2006;6,00;0,54;;
28/02/2006;6,00;0,66;;
31/03/2006;6,00;0,70;;
30/04/2006;6,00;0,45;;
31/05/2006;6,25;0,33;;
30/06/2006;6,50;0,30;;
31/07/2006;6,50;0,41;;
31/08/2006;6,75;0,39;;
30/09/2006;6,75;0,29;;
31/10/2006;7,25;-0,14;;
30/11/2006;7,25;0,24;;
31/12/2006;7,50;0,23;;
31/01/2007;7,75;0,77;;
28/02/2007;8,00;1,17;;
31/03/2007;8,25;1,21;;
30/04/2007;8,25;0,90;;
31/05/2007;8,75;0,30;;
30/06/2007;9,00;0,12;;
31/07/2007;9,25;0,17;;
31/08/2007;9,25;-0,13;;
30/09/2007;9,25;0,08;;
31/10/2007;9,25;0,01;;
30/11/2007;9,50;0,47;;
31/12/2007;9,50;0,49;;
31/01/2008;9,50;1,06;;
